"id","nhom","truyen","cau","ghi_chu","nguoi"
"s001556","lv2-038","Cậu bé đánh trống người Sardegna","- Gặp người lại mà tụt xuống, - viên đại úy lại dặn thêm, vừa nói vừa giúp viên trung sĩ giữ đầu dây dòng cậu bé xuống.","gập người lại chứ nhỉ?","Triết"
"s001579","lv2-038","Cậu bé đánh trống người Sardegna","“Cố lên, can đảm lên, - viên đại úy vừa nói vừa nhìn theo eậu bé đánh trống, chạy dấn lên, con!…","cậu bé","Triết"
"s001589","lv2-038","Cậu bé đánh trống người Sardegna","Ông ta lao xuống thang gác; đạn bắn như điên cuồng, các buồng đều ngổn ngang những người bị thương; vài người lăn mình vật vã trên sàn nhà, quằn quại trong cơn đau đớn, bám vào đồ đạc một cách tuyệt vọng.","""đạn bắn như điên cuồng"" bị dừng lại sau đạn bắn","Triết"
"s001593","lv2-038","Cậu bé đánh trống người Sardegna","Quân Áo lại đến gần thêm; qua làn khói người ta trông thấy những bộ mặt biến dạng của chúng, giữa những loạt súng, người ta nghe tiếng thét man rợ của chúng, tiếng chúng chửi rủa những người bị vây, ra lệnh cho họ đầu hàng, đe dọa giết chết họ.","bị lặp lại ""đầu hàng, đe dọa giết chết họ""","Triết"
"s001619","lv2-038","Cậu bé đánh trống người Sardegna","Một bệnh viện đã được lập vội ở đấy, chứa đầy thương binh, nằm trên những giường và đệm xếp thành hai dãý.","dãy","Triết"
"s001628","lv2-038","Cậu bé đánh trống người Sardegna","- Ông đại úy ngạc nhiên hỏi – Hoan hô!","hình như bị cắt dòng sai","Triết"
"s001673","lv2-039","Tình yêu nước","Sau này, khi khôn lớn, con sẽ cảm thấy rõ hơn; sau một cuộc đi xa trở về, một buổi sáng nọ, tựa vào bao lơn của con tàu, con trông thấy ở chân trời những dãy núi xanh biếc của đất nước con; bấy giờ con sẽ không tài nào cầm nổi những giọt lệ cảm kích và một tiếng kêu vui mừng.","bao lơn của con tàu"" đúng hong ta","Triết"
"s001677","lv2-039","Tình yêu nước","Con sẽ cảm thấy lòng yêu nước như một niềm vui thiêng liêng nếu con được hạnh phúc trông thấy những trung đoàn trở về thành'phố, quân số tiêu hao, quân sĩ kiệt lực, nhưng khóe mắt chói lọi vẻ rực rỡ của chiến thắng; con sẽ cảm thấy lòng yêu nước khi trông thấy lá cờ ba màu lỗ chỗ vết đạn; theo sau là một đoàn dài những dũng sĩ ngẩng cao đầu quấn băng, cánh tay buộc chéo vì thương tật; họ đi giữa một rừng người nhiệt liệt tung hoa như mưa vào họ, gửi đến họ nào lời cầu chúc, nào những cái hôn.","""thành phố"" bị dính lại","Triết"
"s001696","lv2-040","Tính đố kỵ","“Votini, thầy nói với cậu ta, - đừng để cho con rắn ghen tị lụồn vào trong tim.","lụ ồn bị dính chữ","Triết"
"s001751","lv2-042","Chiếc huy chương xứng đáng","Ông tổng thanh tra nhìn chăm chú khuôn mặt bé nhỏ vàng như sáp, cái thân hình bé nhỏ trong bộ quần áo bị thủng rách và bạc màu, đôi mắt hiền hậu và buồn rầu, biểu lộ chuỗi dài những đau khổ đã phải chịu đựng, rồị vừa gắn chiếc huy chương lên ngực cho cậu, vừa nói giọng rất dịu dàng.","""rồi"" bị sai chính tả","Triết"
"s001809","lv2-044","Bộ đồ chơi xe lửa","Mẹ ôm hôn Precossi; bố giới thiệu Garrone với mẹ rằng: “Đây không những chỉ là một cậu bé tất bụng, mà còn là một cậu bé hào hiệp”.","cậu bé tất bụng ???","Triết"
"s001932","lv2-047","Người tù","- Tôi là người tù số 78 mà thầy đã dạy cho đọc và viết cách đây sáu năm, - người ấy nói tiếp, - và trong buổi học cuối cùng, thầy đã vui lòng cho tôi được hôn tay…","bị lặp lại ""đã vui lòng cho tôi được hôn tay""","Triết"
"s001956","lv2-047","Người tù","Trong lúc ấy Derossi giải xong bài tính, chuyển sang cho Crossi, rồi giành từ tay cậu tập bản thảo truyện đọc hàng tháng “Người y tá của ta-ta” mà thầy giáo đã giao cho Crossi chép.","ta-ta nhưng đọc chỉ là ta","Triết"
"lv2-048","lv2-048","Người y tá của tata","Người y tá của tata","hình như đọc sai là tót ta","Triết"
"s001971","lv2-048","Người y tá của tata","Người vợ nghe tin hoảng hốt nhưng không thể bỏ nhà, vì còn một mẹ già tàn tật và một đứa con dại, liền đưa cho đứa con đầu lòng mấy đồng xu, bảo tới Napoli trông nom bố, tata của nó theo tiếng nói của người vùng này.","có vẻ từ tata này đọc cũng như trên","Triết"
"s002003","lv2-048","Người y tá của tata","Tội nghiệp, tata thay đổi nhiều quá.","chổ này cũng có tên tata chắc đọc như trên","Triết"
"s002008","lv2-048","Người y tá của tata","- Tata, tata của con, - cậu bé nói, - con đây, Tata không nhận ra con sao?","Có tên Tata","Triết"
"s002014","lv2-048","Người y tá của tata","Con đây mà, Cicillo của tata đây mà !","cũng có tata","Triết"
"s002055","lv2-048","Người y tá của tata","Nghe tiếng nói âu yếm của cậu bé, trên đôi tròng mắt mở trừng trừng của người bệnh ánh lên một vẻ biết ơn mơ hồ; và có một lần, ông ta mấp máy đôi môi như muốn nói điều gì.","ngắt ở chổ chữ ánh hơi kì xíu","Triết"
"s002122","lv2-048","Người y tá của tata","Con trung hậu của bố nhé, tạm biệt, tạm biệt.","trong voice có 3 từ tạm biệt","Triết"
